strain	isolate_id	host	date	region	country	division	virus
A/goose/OH/25-002651-001-original/2025_H5N1	PV339337.1,PV339338.1,PV339339.1,PV339340.1,PV339341.1,PV339342.1,PV339343.1,PV339344.1	Wild Birds	2025-01-22	North America	USA	Ohio	H5N1
A/goose/OR/24-032167-001-original/2024_H5N1	PQ798062.1,PQ798063.1,PQ798064.1,PQ798065.1,PQ798066.1,PQ798067.1,PQ798068.1,PQ798069.1	Wild Birds	2024-10-28	North America	USA	Oregon	H5N1
A/goose/OR/24-032167-002-original/2024_H5N1	PQ798070.1,PQ798071.1,PQ798072.1,PQ798073.1,PQ798074.1,PQ798075.1,PQ798076.1,PQ798077.1	Wild Birds	2024-10-28	North America	USA	Oregon	H5N1
A/goose/WA/24-033829-001-original/2024_H5N1	PQ844131.1,PQ844132.1,PQ844133.1,PQ844134.1,PQ844135.1,PQ844136.1,PQ844137.1,PQ844138.1	Wild Birds	2024-11-12	North America	USA	Washington	H5N1
A/green-winged_teal/Kentucky/W24-1039A/2024_H5N1	PV267517.1,PV267518.1,PV267519.1,PV267520.1,PV267521.1,PV267522.1,PV267523.1,PV267524.1	Wild Birds	2024-12-10	North America	USA	Kentucky	H5N1
A/green-winged_teal/Texas/UGAI24-2961/2024_H5N1	PV267525.1,PV267526.1,PV267527.1,PV267528.1,PV267529.1,PV267530.1,PV267531.1,PV267532.1	Wild Birds	2024-11-08	North America	USA	Texas	H5N1
A/green-winged_teal/Texas/UGAI24-3048/2024_H5N1	PV267533.1,PV267534.1,PV267535.1,PV267536.1,PV267537.1,PV267538.1,PV267539.1,PV267540.1	Wild Birds	2024-11-09	North America	USA	Texas	H5N1
A/jungle_crow/Iwate/0304I001/2022_H5N1	LC718247.1,LC718248.1,LC718249.1,LC718250.1,LC718251.1,LC718252.1,LC718253.1,LC718254.1	Wild Birds	2022-04-06		Japan	Iwate	H5N1
A/mallard/Tennessee/132/2024_H5N1	PV267549.1,PV267550.1,PV267551.1,PV267552.1,PV267553.1,PV267554.1,PV267555.1,PV267556.1	Wild Birds	2024-11-21	North America	USA	Tennessee	H5N1
A/northern_pintail/Tennessee/158/2024_H5N1	PV267557.1,PV267558.1,PV267559.1,PV267560.1,PV267561.1,PV267562.1,PV267563.1,PV267564.1	Wild Birds	2024-11-23	North America	USA	Tennessee	H5N1
A/red-breasted_merganser/Kansas/W24-1031A/2024_H5N1	PV267565.1,PV267566.1,PV267567.1,PV267568.1,PV267569.1,PV267570.1,PV267571.1,PV267572.1	Wild Birds	2024-12-04	North America	USA	Kansas	H5N1
A/red-shouldered_hawk/Louisiana/W24-1057/2024_H5N1	PV267573.1,PV267574.1,PV267575.1,PV267576.1,PV267577.1,PV267578.1,PV267579.1,PV267580.1	Wild Birds	2024-12-12	North America	USA	Louisiana	H5N1
A/ring-necked_duck/Tennessee/148/2024_H5N1	PV267581.1,PV267582.1,PV267583.1,PV267584.1,PV267585.1,PV267586.1,PV267587.1,PV267588.1	Wild Birds	2024-11-23	North America	USA	Tennessee	H5N1
A/ring-necked_duck/Tennessee/155/2024_H5N1	PV267589.1,PV267590.1,PV267591.1,PV267592.1,PV267593.1,PV267594.1,PV267595.1,PV267596.1	Wild Birds	2024-11-23	North America	USA	Tennessee	H5N1
A/ring-necked_duck/Texas/UGAI24-2984/2024_H5N1	PV267597.1,PV267598.1,PV267599.1,PV267600.1,PV267601.1,PV267602.1,PV267603.1,PV267604.1	Wild Birds	2024-11-08	North America	USA	Texas	H5N1
A/snow_goose/Arkansas/AR24-102/2024_H5N1	PV267605.1,PV267606.1,PV267607.1,PV267608.1,PV267609.1,PV267610.1,PV267611.1,PV267612.1	Wild Birds	2024-12-06	North America	USA	Arkansas	H5N1
A/snow_goose/Arkansas/AR24-105/2024_H5N1	PV267621.1,PV267622.1,PV267623.1,PV267624.1,PV267625.1,PV267626.1,PV267627.1,PV267628.1	Wild Birds	2024-12-06	North America	USA	Arkansas	H5N1
A/snow_goose/Kansas/W24-1007B/2024_H5N1	PV267629.1,PV267630.1,PV267631.1,PV267632.1,PV267633.1,PV267634.1,PV267635.1,PV267636.1	Wild Birds	2024-12-02	North America	USA	Kansas	H5N1
A/snow_goose/Kansas/W24-1007D/2024_H5N1	PV267637.1,PV267638.1,PV267639.1,PV267640.1,PV267641.1,PV267642.1,PV267643.1,PV267644.1	Wild Birds	2024-12-02	North America	USA	Kansas	H5N1
A/snow_goose/Kansas/W24-1014/2024_H5N1	PV267645.1,PV267646.1,PV267647.1,PV267648.1,PV267649.1,PV267650.1,PV267651.1,PV267652.1	Wild Birds	2024-12-04	North America	USA	Kansas	H5N1
A/snow_goose/Kansas/W24-1051B/2024_H5N1	PV267653.1,PV267654.1,PV267655.1,PV267656.1,PV267657.1,PV267658.1,PV267659.1,PV267660.1	Wild Birds	2024-12-12	North America	USA	Kansas	H5N1
A/snow_goose/Kentucky/W24-1021B/2024_H5N1	PV267661.1,PV267662.1,PV267663.1,PV267664.1,PV267665.1,PV267666.1,PV267667.1,PV267668.1	Wild Birds	2024-12-04	North America	USA	Kentucky	H5N1
A/snow_goose/Kentucky/W24-1021D/2024_H5N1	PV267669.1,PV267670.1,PV267671.1,PV267672.1,PV267673.1,PV267674.1,PV267675.1,PV267676.1	Wild Birds	2024-12-04	North America	USA	Kentucky	H5N1
A/snow_goose/Kentucky/W24-1065/2024_H5N1	PV267677.1,PV267678.1,PV267679.1,PV267680.1,PV267681.1,PV267682.1,PV267683.1,PV267684.1	Wild Birds	2024-12-13	North America	USA	Kentucky	H5N1
A/snow_goose/Kentucky/W24-1066/2024_H5N1	PV267685.1,PV267686.1,PV267687.1,PV267688.1,PV267689.1,PV267690.1,PV267691.1,PV267692.1	Wild Birds	2024-12-13	North America	USA	Kentucky	H5N1
A/snow_goose/Louisiana/W24-1010A/2024_H5N1	PV267693.1,PV267694.1,PV267695.1,PV267696.1,PV267697.1,PV267698.1,PV267699.1,PV267700.1	Wild Birds	2024-12-03	North America	USA	Louisiana	H5N1
A/snow_goose/Louisiana/W24-1087OR/2024_H5N1	PV267701.1,PV267702.1,PV267703.1,PV267704.1,PV267705.1,PV267706.1,PV267707.1,PV267708.1	Wild Birds	2024-12-05	North America	USA	Louisiana	H5N1
A/wood_duck/Kansas/W24-1068B/2024_H5N1	PV267725.1,PV267726.1,PV267727.1,PV267728.1,PV267729.1,PV267730.1,PV267731.1,PV267732.1	Wild Birds	2024-12-16	North America	USA	Kansas	H5N1
A/wood_duck/Tennessee/79/2024_H5N1	PV267733.1,PV267734.1,PV267735.1,PV267736.1,PV267737.1,PV267738.1,PV267739.1,PV267740.1	Wild Birds	2024-11-21	North America	USA	Tennessee	H5N1
W250220054-7_2025		Chicken	2025-XX-XX	North America	USA	Washington	H5N1
W250220054-6_2025		Chicken	2025-XX-XX	North America	USA	Washington	H5N1
W250220054-1_2025		Chicken	2025-XX-XX	North America	USA	Washington	H5N1
