strain	isolate_id	host	date	region	country	division	virus
A/chicken/FL/25-001073-002-original/2025_H5N1	PV218998.1,PV218999.1,PV219000.1,PV219001.1,PV219002.1,PV219003.1,PV219004.1,PV219005.1	Chicken	2025-XX-XX	North America	USA	Florida	H5N1
A/chicken/FL/25-001073-003-original/2025_H5N1	PV219006.1,PV219007.1,PV219008.1,PV219009.1,PV219010.1,PV219011.1,PV219012.1,PV219013.1	Chicken	2025-XX-XX	North America	USA	Florida	H5N1
A/chicken/FL/25-001073-004-original/2025_H5N1	PV219014.1,PV219015.1,PV219016.1,PV219017.1,PV219018.1,PV219019.1,PV219020.1,PV219021.1	Chicken	2025-XX-XX	North America	USA	Florida	H5N1
A/chicken/FL/25-003206-001-original/2025_H5N1	PV338953.1,PV338954.1,PV338955.1,PV338956.1,PV338957.1,PV338958.1,PV338959.1,PV338960.1	Chicken	2025-01-28	North America	USA	Florida	H5N1
A/chicken/FL/25-003207-001-original/2025_H5N1	PV338961.1,PV338962.1,PV338963.1,PV338964.1,PV338965.1,PV338966.1,PV338967.1,PV338968.1	Chicken	2025-01-27	North America	USA	Florida	H5N1
A/chicken/FL/25-003207-002-original/2025_H5N1	PV338969.1,PV338970.1,PV338971.1,PV338972.1,PV338973.1,PV338974.1,PV338975.1,PV338976.1	Chicken	2025-01-27	North America	USA	Florida	H5N1
A/chicken/GA/25-000538-001-original/2025_H5N1	PV161964.1,PV161965.1,PV161966.1,PV161967.1,PV161968.1,PV161969.1,PV161970.1,PV161971.1	Chicken	2025-01-06	North America	USA	Georgia	H5N1
A/chicken/IA/24-036502-001-original/2024_H5N1	PV072194.1,PV072195.1,PV072196.1,PV072197.1,PV072198.1,PV072199.1,PV072200.1,PV072201.1	Chicken	2024-12-08	North America	USA	Iowa	H5N1
A/chicken/IA/24-036502-002-original/2024_H5N1	PV072202.1,PV072203.1,PV072204.1,PV072205.1,PV072206.1,PV072207.1,PV072208.1,PV072209.1	Chicken	2024-12-08	North America	USA	Iowa	H5N1
A/chicken/IA/24-037488-001-original/2024_H5N1	PV072210.1,PV072211.1,PV072212.1,PV072213.1,PV072214.1,PV072215.1,PV072216.1,PV072217.1	Chicken	2024-12-14	North America	USA	Iowa	H5N1
A/chicken/IA/24-037488-002-original/2024_H5N1	PV072218.1,PV072219.1,PV072220.1,PV072221.1,PV072222.1,PV072223.1,PV072224.1,PV072225.1	Chicken	2024-12-14	North America	USA	Iowa	H5N1
A/chicken/IA/24-037488-003-original/2024_H5N1	PV072226.1,PV072227.1,PV072228.1,PV072229.1,PV072230.1,PV072231.1,PV072232.1,PV072233.1	Chicken	2024-12-14	North America	USA	Iowa	H5N1
A/chicken/IA/24-037488-005-original/2024_H5N1	PV072234.1,PV072235.1,PV072236.1,PV072237.1,PV072238.1,PV072239.1,PV072240.1,PV072241.1	Chicken	2024-12-14	North America	USA	Iowa	H5N1
A/chicken/IA/24-037488-006-original/2024_H5N1	PV072242.1,PV072243.1,PV072244.1,PV072245.1,PV072246.1,PV072247.1,PV072248.1,PV072249.1	Chicken	2024-12-14	North America	USA	Iowa	H5N1
A/chicken/IA/24-037489-001-original/2024_H5N1	PV072250.1,PV072251.1,PV072252.1,PV072253.1,PV072254.1,PV072255.1,PV072256.1,PV072257.1	Chicken	2024-12-12	North America	USA	Iowa	H5N1
A/chicken/IA/24-037489-002-original/2024_H5N1	PV072258.1,PV072259.1,PV072260.1,PV072261.1,PV072262.1,PV072263.1,PV072264.1,PV072265.1	Chicken	2024-12-12	North America	USA	Iowa	H5N1
A/chicken/IA/24-037489-003-original/2024_H5N1	PV072266.1,PV072267.1,PV072268.1,PV072269.1,PV072270.1,PV072271.1,PV072272.1,PV072273.1	Chicken	2024-12-12	North America	USA	Iowa	H5N1
A/chicken/IA/24-037490-001-original/2024_H5N1	PV072274.1,PV072275.1,PV072276.1,PV072277.1,PV072278.1,PV072279.1,PV072280.1,PV072281.1	Chicken	2024-12-13	North America	USA	Iowa	H5N1
